order,title,author,publisher
1,마디마디 팔딱이는 비트를(창비 청소년 시선),김미희,창비교육,"7,650원"
2,"카카오톡, 라인, 아이 메시지&페이스북 메신저와 함께하는 이모티콘으로 돈벌기",김영삼,한빛미디어,"16,200원"
3,제로 다이어트,이시무라,비타북스,"12,150원"
4,국민건강보험공단 봉투모의고사 4회(2019)(에듀윌),에듀윌,에듀윌,"10,800원"
5,너의 삶도 조금은 특별해질 수 있어,태오,더시드컴퍼니,"14,400원"
6,버선발 이야기(양장본 HardCover),백기완,오마이북,"13,500원"
7,365일 생각하는 빵(My Favorite Things),스기쿠보,나무수,"15,120원"
8,"성게, 메뚜기, 불가사리가 그렇게 생긴 이유",모토카와,김영사,"14,220원"
9,여탕에서 생긴 일(비채×마스다 미리 컬렉션 1),마스다,비채,"10,350원"
10,숨겨진 보물 사라진 도시,질케,현암사,"16,200원"
11,우리에겐 쉼표가 필요하다,마이클,현암사,"14,400원"
12,미술교육학(4판),이규선,03월,"22,000원"
13,세월,아니,1984BOOKS,"12,420원"
14,하체 밸런스 스트레칭,다카하시,포레스트북스,"13,950원"
15,만렙을 찍을 때까지,박일환,창비교육,"7,650원"
16,Do it! 안드로이드 앱 프로그래밍(6판),정재곤,이지스퍼블리싱,"36,000원"
17,무역영어 1급 이론+기출문제(2019)(해커스),해커스,해커스금융,"25,920원"
18,리얼 트립 제주,송세진,북탐,"14,400원"
19,나의 소년. 5,Hitomi,에이케이커뮤니케이션즈,"4,950원"
20,튀김의 비밀(일본의 튀김명가 덴푸라 곤도 주인이 알려주는),곤도,그린쿡,"13,500원"
